article,ean,name,category,dealer_price_eur,status
49.68.01.66,8715839063752,2018 Leisure Catalog NL (50x),,,
49.68.01.61,8715839063707,2018 Specification list DE (50x),,,
49.68.01.63,8715839063721,2018 Specification list FR (50x),,,
49.68.01.65,8715839063745,2018 Specification list IR (50x),,,
49.68.01.60,8715839063691,2018 Specification list NL (50x),,,
49.68.01.64,8715839063738,2018 Specification list sterling pounds (50x),,,
49.68.01.62,8715839063714,2018 Specification list without prices (50x),,,
47.10.42.00,8715839023916,25 Jubileum Poster A1,,,
42.10.11.78,8715839064247,5Spoke rim;RAL2000 Orange; Tire Slick 400/140x8; DT; Right,,,
42.10.11.77,8715839061642,5Spoke rim;RAL2000 Orange; Tire Slick 400/140x8; Left,,,
54.16.10.08,8715839012996,;DIN7380;M10x20;8.8;ZP,,,
47.10.39.00,8715839023862,A1 Poster Jeep,,,
47.10.40.00,8715839023879,A1 Poster John Deere,,,
50.01.28.12,8715839033458,Aandrijfbus,,,
60.56.03.80,8715839039924,Aandrijfkoker schijfrem,,,
60.01.39.71,8715839037661,Accessoiresteun,,,
50.29.00.06,8715839046533,Accu 36V/15Ah,,,
50.29.00.07,8715839046540,Accu 36V/15Ah incl bevestiging,,,
60.53.72.80,8715839039689,Achteras Loc03 L,,,
60.53.72.81,8715839039696,Achteras Loc03 R,,,
60.25.11.00,8715839038200,Achteras Opbouwkar,,,
60.22.42.00,8715839038187,Achteras blauw Crazy Bike,,,
60.22.42.03,8715839038194,Achteras rood Crazy Bike,,,
60.59.06.25,8715839039979,Achterbeugel BalanzBike Bazzic,,,
60.59.04.05,8715839039962,Achterbeugel BalanzBike Extenz,,,
60.59.22.05,8715839039986,Achterbeugel BalanzBike Prof,,,
60.32.12.03,8715839039047,"Achterframe """"Sunrise"""" Rood",,,
60.39.41.05,8715839039108,"Achterframe """"Sunset"""" Zwart",,,
60.59.31.18,8715839039993,Achterframe BalanzB XL zilver,,,
60.04.21.03,8715839037777,Achterframe Binky,,,
60.04.31.03,8715839037838,Achterframe Binky Prof rood,,,
60.04.31.00,8715839037821,Achterframe Binky prof. blauw,,,
60.07.13.00,8715839037869,Achterframe Bolderkar,,,
60.07.43.00,8715839037920,Achterframe Bolderkar,,,
60.54.67.06,8715839039863,Achterframe Buster AF Geel,,,
60.54.61.00,8715839039818,Achterframe Buster BF blauw,,,
60.54.61.06,8715839039825,Achterframe Buster BF geel,,,
60.54.61.17,8715839039832,Achterframe Buster BF groen,,,
60.39.41.09,8715839039115,Achterframe Chopper Oranje,,,
60.53.41.03,8715839039542,Achterframe Clipper rood,,,
60.61.01.16,8715839040135,Achterframe Compact Goud,,,
60.61.01.17,8715839040142,Achterframe Compact RAL 6003,,,
60.61.01.06,8715839040111,Achterframe Compact geel,,,
60.61.01.13,8715839040128,Achterframe Compact paars,,,
60.61.01.03,8715839040104,Achterframe Compact rood,,,
60.32.12.00,8715839039030,Achterframe Delta Blauw,,,
60.32.01.01,8715839038996,Achterframe Donald Blauw,,,
60.32.01.03,8715839039009,Achterframe Donald Rood,,,
60.32.01.18,8715839039016,Achterframe Donald Zilver,,,
60.50.02.07,8715839039405,Achterframe Freestyler groen,,,
60.53.80.05,8715839041590,Achterframe GrT zwart,,,
60.32.11.03,8715839039023,Achterframe Rood,,,
60.54.67.03,8715839039856,"Achterframe Rood, ronde buis",,,
60.39.41.03,8715839039092,Achterframe Sunset Rood,,,
60.48.11.00,8715839039283,Achterframe blauw,,,
60.48.33.00,8715839039313,Achterframe blauw,,,
60.48.61.00,8715839039351,Achterframe blauw,,,
60.48.82.00,8715839039382,Achterframe blauw,,,
60.53.71.00,8715839039665,Achterframe blauw,,,
60.21.42.00,8715839038057,Achterframe kl. step blauw,,,
60.21.42.03,8715839038064,Achterframe kl. step rood,,,
60.53.71.03,8715839039672,Achterframe rood,,,
60.54.02.05,8715839039757,Achterframe zwart,,,
58.31.08.15,8715839037272,Achterk 04 wit AF Atk strip ro,,,
58.53.80.05,8715839041880,Achterkant GrT AF zw gemon,,,
58.53.71.00,8715839041873,Achterkant loc DF blauw,,,
58.53.71.03,8715839037470,Achterkant loc DF rood,,,
52.02.22.05,8715839035124,Achterkap Kettingkast,,,
52.02.15.00,8715839029147,Achterkap kettingkast,,,
52.02.21.01,8715839035117,Achterkap kettingkast Compact,,,
52.02.15.08,8715839034882,Achterkap kettingkast Groen,,,
50.91.20.55,8715839034226,Achterlicht,,,
50.06.19.04,8715839012347,Achterschot Kipkar,,,
60.54.02.00,8715839039740,Achtk Buster AF blauw,,,
35.93.11.00,8715839043617,Afdekhoes Jumping Styles 330,,,
35.93.14.00,8715839043624,Afdekhoes Jumping Styles 430,,,
52.01.22.07,8715839041798,Afdekkap stuur metallic grijs,,,
31.51.01.00,8715839025705,Anchors set,,,
60.53.46.05,8715839039573,Anti-kiep beugel Clipper,,,
60.15.12.00,8715839037951,Arm kleine graver,,,
50.92.62.51,8715839027754,Artwork Biky Grey,,,
50.92.62.52,8715839027761,Artwork Biky White,,,
