dir,ean,product_id,reference,name,images,note
fotelik-piankowy-dla-dzieci-pomaranczowy-gepetto,,1093,05.07.06.00-orange,Fotelik piankowy dla dzieci pomarańczowy Gepetto,1,"no EAN, name used"
8715839012057,8715839012057,1094,56.09.02.00,Uchwyt do flagi Chopper / Sun-set,1,
83428201093,83428201093,1097,81091-red,Oball aktywna rączka 15 cm czerwony,1,
fotelik-piankowy-rozkadany-dla-dzieci-materac-biedronka-gepetto,,1098,SN23,Fotelik piankowy rozkładany dla dzieci materac biedronka Gepetto,6,"no EAN, name used"
8854740056047,8854740056047,1099,PT5604,Balansujący tor kulowy Plan Toys,4,
8715839056075,8715839056075,1118,51.42.00.10,Dętka do gokarta GranTour BERG 2.75-17,2,
8715839056112,8715839056112,1123,50.53.08.00,Pas bezpieczeństwa do gokartów BERG Gran Tour,2,
7392601153203,7392601153203,1131,515-040,Zestaw do piłki siatkowej Sunsport,1,
7392600601125,7392600601125,1132,515-050,Zestaw do piłki siatkowej i siatko-nogi SunSport,3,
zestaw-do-badmintona-dwie-rakietki-i-dwie-lotki,,1135,514-010,Zestaw do Badmintona (dwie rakietki i dwie lotki),2,"no EAN, name used"
7392601114303,7392601114303,1137,411-430,Frisbee Dysk latający Sky Rider 140,2,
7392601114204,7392601114204,1138,411-420,Frisbee Dysk Latający Sky Rider 100,2,
7392601115003,7392601115003,1139,411-500,Frisbee dysk świecący,1,
7392601114150,7392601114150,1140,411-415,Frisbee Dysk latający Neon soft,2,
7392601160850,7392601160850,1143,516-085,Sunsport Tablica z obręczą do koszykówki,1,
8715839051872,8715839051872,1144,51.07.00.43,Komplet pedałów do dużych gokartów BERG (FP-829),1,
8715839053340,8715839053340,1150,51.31.01.50,Dętka 300x8 (350/100x8) do gokartów BERG,1,
8715839056273,8715839056273,1155,43.42.00.97,Koło 460/165-8 do gokarta Gran Tour F Off road BERG,1,
latawiec-vichy-diamond,,1161,12586,Latawiec Vichy diamond,1,"no EAN, name used"
latawiec-dwulinkowy-wicky-didakites,,1162,23118,Latawiec dwulinkowy Wicky Didakites,1,"no EAN, name used"
latawiec-dwulinkowy-bee-didakites,,1163,23111,Latawiec dwulinkowy Bee Didakites,1,"no EAN, name used"
latawiec-arrow,,1166,15210,Latawiec Arrow,2,"no EAN, name used"
5413858125606,5413858125606,1167,12560,Latawiec jednolinkowy dla dzieci Funny Diamond Didakites,5,
5413858138064,5413858138064,1169,13806,Latawiec Delta 806,1,
541385821170,541385821170,1171,21117,Dwulinkowy Latawiec Pacyfic 120 Didakites 6+,1,
latawiec-surf-kid-delta,,1173,13813,Latawiec Surf Kid Delta,2,"no EAN, name used"
latawiec-delta-2000-didakites-4,,1174,13160,Latawiec Delta 2000 Didakites 4+,1,"no EAN, name used"
5413858138170,5413858138170,1175,13817,Latawiec Delta Alien,2,
latawiec-dwulinkowy-akrobacyjny-supersonic-01-8,,1176,23157,Latawiec dwulinkowy akrobacyjny Supersonic 01 8+,2,"no EAN, name used"
5413858163455,5413858163455,1177,16345,Latawiec Tropical Butterfly,1,
8717703020274,8717703020274,1185,42.22.12.00,Bramka piłkarska aluminiowa Scala 220x120 cm Exit,7,
8715839074581,8715839074581,1190,51.30.72.51,"Kapsle, zaślepki do siatki deluxe trampoliny Berg",0,NO IMAGES
8715839058260,8715839058260,1191,51.07.00.64,"Łącznik drążka kierowniczego z ramą XL, łącznik drążka gokart BERG",1,
8715839050509,8715839050509,1202,56.67.10.10,Tylna ośka do gokarta Buzzy Berg,2,
8717775441694,8717775441694,1208,GA169,Rakietki  z piłeczką Buiten Speel,1,
